BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;59;7680;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;88;13016;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;164;27344;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;303;53520;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;580;92648;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;1119;67036;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;2217;61952;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;47;7680;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;54;13016;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;93;27344;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;163;53520;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;301;92648;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;570;67036;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;1126;61952;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;37;7680;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;36;13016;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;53;27344;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;85;53520;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;161;92648;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;288;67036;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;569;61952;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;38;7680;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;40;13016;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;40;27344;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;47;53520;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;87;92648;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;160;67036;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;313;61952;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;36;7680;
